Ticker
AAPL
MSFT
NVDA
AVGO
TSM
ORCL
SAP
ASML
CRM
IBM
PLTR
CSCO
ACN
INTU
NOW
UBER
QCOM
ADBE
SONY
AMD
TXN
FI
ADP
AMAT
SHOP
PANW
ARM
CRWD
MSTR
ADI
ANET
INTC
KLAC
LRCX
APP
APH
MU
FTNT
CDNS
MSI
INFY
SNPS
ROP
WDAY
DELL
ADSK
TEAM
PAYX
SNOW
FICO
NXPI
MRVL
FIS
TEL
NET
GRMN
GLW
CTSH
XYZ
DDOG
IT
ZS
WIT
NOK
HUBS
BR
ANSS
ERIC
MPWR
TYL
GDDY
TTD
GIB
VRSN
KEYS
CHKP
HPQ
FTV
ZM
MCHP
CPAY
TDY
IOT
CDW
HPE
TOST
SSNC
STM
SMCI
LDOS
CRWV
UI
ASX
GPN
GFS
PTC
GRAB
UMC
NTAP
OKTA
